
@relation 'AIS'
@attribute AgentLatitude numeric
@attribute AgentRemainingTravelTimeInMinutes numeric
@attribute AgentSOG numeric
@attribute AgentCOG numeric
@attribute Latitude numeric
@attribute Longitude numeric
@attribute WeekdayInt numeric
@attribute WeekOfYearInt numeric
@attribute HourInt numeric
@attribute Length numeric
@attribute Breadth numeric
@attribute Draught numeric
@attribute SOG numeric
@attribute COG numeric
@attribute TripID numeric
@attribute time date 'yyyy-MM-dd HH:mm'
@attribute RemainingTravelTimeInMinutes2 numeric

@data
54.5,157,16.6,26,54.57,11.16,0,15,22,154,24,8.57,15.8,110.1,393533,'2016-04-11 22:20:00',1130
54.5,156,16.6,26,54.57,11.16,0,15,22,154,24,8.57,15.9,110.1,393533,'2016-04-11 22:21:00',1129
54.5,152,16.6,26,54.57,11.19,0,15,22,154,24,8.57,15.8,112.4,393533,'2016-04-11 22:25:00',1125
54.5,151,16.6,26,54.56,11.2,0,15,22,154,24,8.57,15.9,112.8,393533,'2016-04-11 22:26:00',1124
54.5,150,16.6,26,54.56,11.21,0,15,22,154,24,8.57,15.9,112.8,393533,'2016-04-11 22:27:00',1123
54.5,145,16.6,26,54.55,11.24,0,15,22,154,24,8.57,16,112.8,393533,'2016-04-11 22:32:00',1118
54.5,143,16.6,26,54.55,11.26,0,15,22,154,24,8.57,16.1,112.8,393533,'2016-04-11 22:34:00',1116
54.5,142,16.6,26,54.55,11.26,0,15,22,154,24,8.57,16.1,112.8,393533,'2016-04-11 22:35:00',1115
54.5,141,16.6,26,54.55,11.27,0,15,22,154,24,8.57,16.1,112.8,393533,'2016-04-11 22:36:00',1114
54.5,139,16.6,26,54.54,11.28,0,15,22,154,24,8.57,16.2,113.2,393533,'2016-04-11 22:38:00',1112
54.5,136,16.6,26,54.54,11.31,0,15,22,154,24,8.57,16.2,113.2,393533,'2016-04-11 22:41:00',1109
54.5,155,16.6,26,54.57,11.17,0,15,22,154,24,8.57,15.8,109.8,393533,'2016-04-11 22:22:00',1128
54.5,154,16.6,26,54.57,11.18,0,15,22,154,24,8.57,15.9,110.1,393533,'2016-04-11 22:23:00',1127
54.5,146,16.6,26,54.56,11.23,0,15,22,154,24,8.57,16,113.2,393533,'2016-04-11 22:31:00',1119
54.5,134,16.6,26,54.53,11.32,0,15,22,154,24,8.57,16.3,111.8,393533,'2016-04-11 22:43:00',1107
54.5,140,16.6,26,54.54,11.28,0,15,22,154,24,8.57,16.2,112.8,393533,'2016-04-11 22:37:00',1113
54.5,99,16.6,26,54.47,11.58,0,15,23,154,24,8.57,16.9,116,393533,'2016-04-11 23:18:00',1072
54.5,131,16.6,26,54.53,11.34,0,15,22,154,24,8.57,16.3,111.8,393533,'2016-04-11 22:46:00',1104
54.5,130,16.6,26,54.53,11.35,0,15,22,154,24,8.57,16.4,112.2,393533,'2016-04-11 22:47:00',1103
54.5,129,16.6,26,54.53,11.36,0,15,22,154,24,8.57,16.4,111.9,393533,'2016-04-11 22:48:00',1102
54.5,128,16.6,26,54.52,11.36,0,15,22,154,24,8.57,16.4,111.9,393533,'2016-04-11 22:49:00',1101
