TripID,ID,WeekdayInt,WeekOfYearInt,HourInt,TripDurationInMinutes,RemainingTravelTimeInMinute,shiptype,Length,Breadth,Draught,Latitude,Longitude,SOG,COG,TH
424725,265762917,4,24,19,2307,2178,70,88,12,4.3,54.54,10.56,9.3,70.4,69
424725,265765780,4,24,19,2307,2192,70,88,12,4.3,54.53,10.5,9.4,69.6,69
424725,265766197,4,24,19,2307,2199,70,88,12,4.3,54.52,10.47,9.4,68.7,69
424725,265768308,4,24,19,2307,2166,70,88,12,4.3,54.55,10.61,9.4,85.6,84
424725,265770189,4,24,19,2307,2172,70,88,12,4.3,54.55,10.58,9.3,84.5,85
424725,265771589,4,24,19,2307,2177,70,88,12,4.3,54.54,10.56,9.3,70.3,69
424725,265773396,4,24,19,2307,2165,70,88,12,4.3,54.55,10.62,9.4,85.7,84
424725,265777257,4,24,19,2307,2159,70,88,12,4.3,54.55,10.64,9.3,85.4,84
424725,265778737,4,24,20,2307,2151,70,88,12,4.3,54.55,10.67,9.3,86.4,84
424725,265779560,4,24,19,2307,2171,70,88,12,4.3,54.55,10.59,9.3,86.4,85
424725,265782541,4,24,19,2307,2176,70,88,12,4.3,54.55,10.57,9.3,74.1,75
424725,265782928,4,24,19,2307,2191,70,88,12,4.3,54.53,10.5,9.4,69.8,69
424725,265787590,4,24,19,2307,2198,70,88,12,4.3,54.53,10.47,9.4,69.2,69
424725,265788332,4,24,19,2307,2175,70,88,12,4.3,54.55,10.57,9.3,79.9,80
424725,265789264,4,24,19,2307,2163,70,88,12,4.3,54.55,10.62,9.4,85.7,84
424725,265794563,4,24,20,2307,2157,70,88,12,4.3,54.55,10.65,9.3,85.9,84
424725,265794722,4,24,20,2307,2150,70,88,12,4.3,54.55,10.68,9.3,86.2,84
424725,265799973,4,24,19,2307,2190,70,88,12,4.3,54.53,10.51,9.4,70,69
424725,265804820,4,24,20,2307,2143,70,88,12,4.3,54.55,10.71,9.4,86.6,84
424725,265806055,4,24,19,2307,2161,70,88,12,4.3,54.55,10.63,9.3,85.6,84
424725,265806487,4,24,19,2307,2169,70,88,12,4.3,54.55,10.6,9.3,85.4,84
424725,266253344,5,24,0,2307,1863,70,88,12,4.3,54.4,11.91,9.6,91.5,87
424725,265808254,4,24,20,2307,2156,70,88,12,4.3,54.55,10.65,9.3,85.9,84
424725,266259181,5,24,0,2307,1916,70,88,12,4.3,54.43,11.67,9.6,114.1,114
424725,265809678,4,24,20,2307,2149,70,88,12,4.3,54.55,10.68,9.3,86,84
424725,265810955,4,24,20,2307,2142,70,88,12,4.3,54.55,10.71,9.4,86,84
424725,266263612,5,24,0,2307,1861,70,88,12,4.3,54.4,11.92,9.7,92.6,87
424725,265814841,4,24,20,2307,2137,70,88,12,4.3,54.55,10.74,9.5,86.8,84
424725,265816883,4,24,19,2307,2168,70,88,12,4.3,54.55,10.6,9.4,85.1,84
424725,265819439,4,24,19,2307,2196,70,88,12,4.3,54.53,10.48,9.4,69.3,69
424725,266267424,5,24,8,2307,1385,70,88,12,4.3,54.67,13.86,9,104.1,102
424725,265820140,4,24,20,2307,2141,70,88,12,4.3,54.55,10.72,9.4,86.4,84
424725,265821771,4,24,20,2307,2136,70,88,12,4.3,54.55,10.74,9.4,86.7,84
424725,265822405,4,24,19,2307,2189,70,88,12,4.3,54.53,10.51,9.4,70,69
424725,265827898,4,24,20,2307,2155,70,88,12,4.3,54.55,10.66,9.3,86.5,84
424725,265829723,4,24,20,2307,2115,70,88,12,4.3,54.56,10.84,9,86.1,84
424725,266275679,5,24,11,2307,1210,70,88,12,4.3,54.6,14.57,8.8,83.5,81
424725,265830410,4,24,20,2307,2122,70,88,12,4.3,54.56,10.81,9.5,87.4,84
424725,265830964,4,24,20,2307,2148,70,88,12,4.3,54.55,10.69,9.4,86.1,84
424725,265831015,4,24,20,2307,2135,70,88,12,4.3,54.55,10.75,9.4,86.7,84
424725,265832633,4,24,20,2307,2129,70,88,12,4.3,54.55,10.77,9.4,87.4,84
424725,265835863,4,24,20,2307,2139,70,88,12,4.3,54.55,10.73,9.4,86.3,84
424725,265838440,4,24,20,2307,2134,70,88,12,4.3,54.55,10.75,9.4,86.8,84
424725,265843264,4,24,20,2307,2139,70,88,12,4.3,54.55,10.73,9.4,86.5,84
424725,266287840,5,24,0,2307,1859,70,88,12,4.3,54.4,11.93,9.7,92,87
424725,265843931,4,24,20,2307,2133,70,88,12,4.3,54.55,10.76,9.4,86.7,84
424725,265847240,4,24,20,2307,2147,70,88,12,4.3,54.55,10.69,9.4,85.8,84
424725,265850208,4,24,20,2307,2114,70,88,12,4.3,54.56,10.84,9.1,85.6,84
424725,265851563,4,24,20,2307,2132,70,88,12,4.3,54.55,10.76,9.4,87.4,84
424725,265865868,4,24,20,2307,2113,70,88,12,4.3,54.56,10.84,9,86,84
424725,265852263,4,24,20,2307,2120,70,88,12,4.3,54.56,10.81,9.2,87,84
424725,265867267,4,24,20,2307,2100,70,88,12,4.3,54.56,10.9,9.1,85.3,84
424725,265872589,4,24,20,2307,2100,70,88,12,4.3,54.56,10.9,9.1,85,84
424725,265863255,4,24,20,2307,2146,70,88,12,4.3,54.55,10.7,9.4,86.2,84
424725,265873913,4,24,20,2307,2118,70,88,12,4.3,54.56,10.82,9.1,86.3,84
424725,265882914,4,24,20,2307,2145,70,88,12,4.3,54.55,10.7,9.4,86.1,84
424725,265883014,4,24,20,2307,2098,70,88,12,4.3,54.56,10.91,9.1,85.3,84
424725,265556918,4,24,17,2307,2285,70,88,12,4.3,54.39,10.2,8.6,12,10
424725,265799724,4,24,19,2307,2197,70,88,12,4.3,54.53,10.48,9.4,69.2,69
424725,265867699,4,24,20,2307,2127,70,88,12,4.3,54.55,10.78,9.4,87.5,84
424725,265873849,4,24,20,2307,2152,70,88,12,4.3,54.55,10.67,9.4,86.3,84
424725,266313717,5,24,6,2307,1502,70,88,12,4.3,54.73,13.34,9.6,69.5,71
424725,265878783,4,24,20,2307,2105,70,88,12,4.3,54.56,10.88,9,86.3,84
424725,265882540,4,24,20,2307,2117,70,88,12,4.3,54.56,10.83,9.1,85.8,84
424725,265882897,4,24,20,2307,2112,70,88,12,4.3,54.56,10.85,9,85.6,84
424725,266317611,5,24,0,2307,1909,70,88,12,4.3,54.43,11.7,9.7,115.3,114
424725,265885411,4,24,20,2307,2104,70,88,12,4.3,54.56,10.88,9,85.3,84
424725,266321477,5,24,6,2307,1501,70,88,12,4.3,54.73,13.35,9.5,76,76
424725,265885631,4,24,21,2307,2093,70,88,12,4.3,54.56,10.93,9.1,85.7,84
